,Gene,p.value,Adjusted.p.value
1,hsa-mir-4781:hsa-miR-4781-3p,9.94E-08,4.98E-05
2,hsa-mir-371b:hsa-miR-371b-5p,3.93E-05,0.019468661
3,hsa-mir-5001:hsa-miR-5001-3p,3.72E-05,0.018469424
4,hsa-mir-28:hsa-miR-28-3p,1.54E-05,0.007644685
5,hsa-mir-3615:hsa-miR-3615,4.59E-05,0.022609699
6,hsa-mir-3127:hsa-miR-3127-3p,3.02E-06,0.00150861
7,hsa-mir-330:hsa-miR-330-5p,7.56E-05,0.037050517
8,hsa-mir-361:hsa-miR-361-5p,6.51E-05,0.032025525
9,hsa-mir-1285-1:hsa-miR-1285-5p,4.10E-05,0.020256069
10,hsa-mir-26b:hsa-miR-26b-3p,1.87E-05,0.009286106
11,hsa-mir-3157:hsa-miR-3157-3p,1.52E-05,0.007592083
12,hsa-mir-5010:hsa-miR-5010-3p,0.000101085,0.049430779
13,hsa-mir-1468:hsa-miR-1468,2.17E-08,1.09E-05
14,brain-mir-431:brain-mir-431,7.48E-05,0.036746925
15,brain-mir-112:brain-mir-112,9.23E-08,4.63E-05
