"","Gene","p.value","Adjusted.p.value"
"1","hsa-mir-30a:hsa-miR-30a-3p",0.00220628924364348,0.995148224725225
"2","hsa-mir-550a-1:hsa-miR-550a-3p",0.0424170509664723,0.995148224725225
"3","hsa-mir-29a:hsa-miR-29a-3p",0.801087850740576,0.995148224725225
"4","hsa-mir-378e:hsa-miR-378e",0.602191787938073,0.995148224725225
"5","hsa-mir-155:hsa-miR-155-5p",0.102958407450313,0.995148224725225
"6","hsa-mir-628:hsa-miR-628-3p",0.0999310541317954,0.995148224725225
"7","hsa-mir-26a-2:hsa-miR-26a-5p",0.0266957639418235,0.995148224725225
"8","hsa-mir-106b:hsa-miR-106b-5p",0.676386182675415,0.995148224725225
"9","hsa-mir-4781:hsa-miR-4781-3p",9.93938204524843e-08,4.97963040466946e-05
"10","hsa-mir-204:hsa-miR-204-5p",0.353930920668179,0.995148224725225
"11","hsa-mir-194-1:hsa-miR-194-5p",0.0123051134222778,0.995148224725225
"12","hsa-mir-320c-1:hsa-miR-320c",0.233094588095502,0.995148224725225
"13","hsa-mir-10b:hsa-miR-10b-5p",0.00276545291338822,0.995148224725225
"14","hsa-mir-1260a:hsa-miR-1260a",0.0084676020887161,0.995148224725225
"15","hsa-mir-215:hsa-miR-215",0.861747618343247,0.995148224725225
"16","hsa-mir-548aj-2:hsa-miR-548g-5p",0.419563229566609,0.995148224725225
"17","hsa-mir-193a:hsa-miR-193a-5p",0.79818195312477,0.995148224725225
"18","hsa-mir-4732:hsa-miR-4732-3p",0.101951489719715,0.995148224725225
"19","hsa-mir-3613:hsa-miR-3613-3p",0.0635701967490783,0.995148224725225
"20","hsa-mir-1226:hsa-miR-1226-3p",0.982202989981854,0.995148224725225
"21","hsa-mir-7-3:hsa-miR-7-5p",0.128219778994073,0.995148224725225
"22","hsa-mir-1303:hsa-miR-1303",0.02623875450952,0.995148224725225
"23","hsa-mir-183:hsa-miR-183-3p",0.972535058312962,0.995148224725225
"24","hsa-mir-5100:hsa-miR-5100",0.163022955101762,0.995148224725225
"25","hsa-mir-196a-1:hsa-miR-196a-5p",0.416141706423319,0.995148224725225
"26","hsa-mir-181a-1:hsa-miR-181a-3p",0.394936973337101,0.995148224725225
"27","hsa-mir-548x:hsa-miR-548ar-5p",0.419563229566609,0.995148224725225
"28","hsa-mir-548k:hsa-miR-548av-5p",0.370165812745637,0.995148224725225
"29","hsa-mir-199a-1:hsa-miR-199a-3p",0.088040636642007,0.995148224725225
"30","hsa-mir-486:hsa-miR-486-5p",0.490491358618832,0.995148224725225
"31","hsa-mir-4448:hsa-miR-4448",0.904373837343227,0.995148224725225
"32","hsa-mir-30e:hsa-miR-30e-3p",0.00466007481768165,0.995148224725225
"33","hsa-mir-548o-2:hsa-miR-548am-5p",0.561487022214639,0.995148224725225
"34","hsa-mir-3177:hsa-miR-3177-3p",0.508185452546645,0.995148224725225
"35","hsa-mir-4508:hsa-miR-4508",0.839913878691788,0.995148224725225
"36","hsa-mir-548h-4:hsa-miR-548z",0.347963372345034,0.995148224725225
"37","hsa-mir-548aj-2:hsa-miR-548x-5p",0.419563229566609,0.995148224725225
"38","hsa-mir-371b:hsa-miR-371b-5p",3.93306275760268e-05,0.0194686606501333
"39","hsa-mir-5001:hsa-miR-5001-3p",3.72367421992868e-05,0.0184694241308463
"40","hsa-mir-16-2:hsa-miR-16-2-3p",0.993598164973728,0.995148224725225
"41","hsa-mir-128-2:hsa-miR-128",0.00513600438770004,0.995148224725225
"42","hsa-mir-378a:hsa-miR-378a-3p",0.113636309354659,0.995148224725225
"43","hsa-mir-548o-2:hsa-miR-548au-5p",0.561487022214639,0.995148224725225
"44","hsa-mir-548aa-2:hsa-miR-548t-3p",0.632342292749018,0.995148224725225
"45","hsa-mir-454:hsa-miR-454-3p",0.421709405615252,0.995148224725225
"46","hsa-mir-4753:hsa-miR-4753-5p",0.428164843851995,0.995148224725225
"47","hsa-let-7a-1:hsa-let-7a-3p",0.29318542194294,0.995148224725225
"48","hsa-mir-486:hsa-miR-486-3p",0.742356106152848,0.995148224725225
"49","hsa-mir-326:hsa-miR-326",0.0651584794335656,0.995148224725225
"50","hsa-mir-4482-1:hsa-miR-4482-3p",0.280769552433621,0.995148224725225
"51","hsa-mir-4511:hsa-miR-4511",0.227511687431944,0.995148224725225
"52","hsa-mir-1270-1:hsa-miR-1270",0.0860910980993848,0.995148224725225
"53","hsa-mir-331:hsa-miR-331-5p",0.9066065680283,0.995148224725225
"54","hsa-mir-132:hsa-miR-132-3p",0.0208772763711083,0.995148224725225
"55","hsa-mir-941-4:hsa-miR-941",0.711025058483225,0.995148224725225
"56","hsa-mir-877:hsa-miR-877-5p",0.651681083550361,0.995148224725225
"57","hsa-mir-550a-1:hsa-miR-550a-5p",0.000679137850442093,0.319873927558226
"58","hsa-mir-5189:hsa-miR-5189",0.528626745453692,0.995148224725225
"59","hsa-mir-199a-2:hsa-miR-199b-3p",0.0909554959368332,0.995148224725225
"60","hsa-mir-144:hsa-miR-144-5p",0.0854551970219014,0.995148224725225
"61","hsa-let-7f-2:hsa-let-7f-5p",0.238646275442107,0.995148224725225
"62","hsa-mir-378b:hsa-miR-378b",0.168572488890862,0.995148224725225
"63","hsa-mir-126:hsa-miR-126-5p",0.347607786705478,0.995148224725225
"64","hsa-mir-1538:hsa-miR-1538",0.98204219624063,0.995148224725225
"65","hsa-mir-191:hsa-miR-191-3p",0.0272462317224706,0.995148224725225
"66","hsa-mir-320b-1:hsa-miR-320b",0.23406120784588,0.995148224725225
