ID_REF,GSM300173,GSM300177,GSM300181,GSM300186,GSM300189,GSM300192,GSM300196,GSM300204,GSM300208,GSM300214,GSM300218,GSM300222,GSM300228,GSM300230,GSM300234,GSM300238,GSM300242,GSM300248,GSM300252,GSM300258,GSM300261,GSM300267,GSM300271,GSM300275,GSM300279,GSM300285,GSM300289,GSM300293,GSM300297,GSM300300,GSM300304,GSM300308,GSM300312,GSM300316,GSM300320,GSM300324,GSM300328,GSM300332,GSM300338,GSM1176196,GSM1176197,GSM1176198,GSM1176199,GSM1176200,GSM1176201,GSM1176202,GSM1176203,GSM1176204,GSM1176205,GSM1176206,GSM1176207,GSM1176208,GSM1176209,GSM1176210
1552596_at,1.0304593,0.97508234,0.9859887,1.0620152,1.11916,1.0439509,1.0490806,1.0242606,1.0154173,0.9621175,1.0384549,1.0646216,1.2113781,0.994014,1.0110239,0.97104627,1.0596155,1.0231034,0.9859883,1.1005383,0.9869184,0.9710465,1.074907,1.0370854,1.0826352,0.92233354,1.0805963,0.96684486,1.1519115,0.9572326,1.059616,0.98135257,1.0720733,1.070054,1.060215,0.97287863,0.9841318,0.9828338,1.0188689,0.89056206,0.89375764,0.8932519,0.9164733,0.8626357,0.93168414,0.89510643,0.8793843,0.8401651,0.9173152,0.87954944,0.86671036,0.901542,0.95362014,0.9360072
1553498_at,1.0978703,1.0034523,1.0095241,1.0757434,1.0347666,1.0574456,1.0640448,1.0376965,1.0332073,0.927937,1.0552549,1.12936,1.0192772,1.0402433,1.0367193,0.98564017,1.113924,1.0398508,1.0040196,1.1135039,1.0177406,0.96759737,1.0668569,1.055454,1.062241,1.0215856,1.1619723,0.9354894,1.0900337,0.9823014,1.1122458,1.0034523,1.0414201,1.1432843,1.0156329,0.99235225,1.0000528,1.0030739,1.1221443,1.4314588,1.304411,1.2422488,1.1607637,1.3274837,1.1259392,1.2670846,1.277158,1.254487,1.3355156,1.2790847,1.3609318,1.3083514,1.2487092,1.3254824
1555238_at,0.89459085,0.82074344,0.7435409,0.8112059,0.7841402,0.8061747,0.88136595,0.79470605,0.7803059,0.75455517,0.9552497,0.8054153,0.8613258,0.7779555,0.82260245,0.7605533,0.83683646,0.80374664,0.76732224,0.9211174,0.7761975,0.7980091,0.8303929,0.83936447,0.87954026,0.6656469,0.85921776,0.6677834,0.92826515,0.7582628,0.96447945,0.8561452,0.83180314,1.0728823,0.8509963,0.8010236,0.6908336,0.7071734,0.81396323,0.626294,0.6186663,0.6384535,0.80558616,0.70368344,0.72982734,0.673061,0.55605155,0.60585415,0.65664274,0.63653064,0.622175,0.63174886,0.7599836,0.6639869
1555634_a_at,1.1405716,0.94175386,1.0621201,1.2471863,1.0611194,1.1119092,1.3792815,1.1448796,1.0701602,0.822683,1.1110709,1.3123142,1.400505,1.0727857,1.3041754,0.8661327,1.3239932,0.96730506,1.0821294,1.4347116,1.0444477,1.0409098,1.1277426,1.1116996,1.1603079,1.1682094,1.1929138,1.0695543,1.2319967,0.975362,1.2592357,1.0821296,1.2992662,1.3162774,1.2257415,0.85027725,1.0122682,1.0764325,1.1347804,1.3054737,1.3829988,1.5819715,1.2133883,1.3163482,1.290587,1.3265615,1.3903193,1.313125,1.4440137,1.388223,1.2348515,1.3924167,1.3063086,1.3892702
1556809_a_at,0.97642267,0.77419364,0.706412,0.7388299,0.838145,1.1143785,0.8337322,1.1816688,0.70948213,0.69452727,2.311916,0.7479395,0.6796319,1.0046188,0.77288127,0.6598104,0.952604,0.71931356,0.6997844,0.9953812,0.74008447,0.7104189,1.2894491,0.8810815,0.79489946,0.8582925,0.9401154,0.7574463,0.861535,0.74653065,0.8121683,0.6885305,0.7117594,0.76953703,0.6314551,0.6443219,0.7171471,0.78788716,0.71350616,0.42550313,0.583944,0.5492393,0.49907246,0.5675555,0.71239996,0.6274308,0.5985453,0.4242213,0.6893214,0.6385283,0.6320608,0.4840669,0.62414795,0.6339703
1557595_at,1.1127411,1.0162772,1.0621134,1.1947062,1.0835518,1.0936075,1.1226445,1.1102258,1.0535382,1.0044674,1.1173657,1.1442252,1.1533213,1.0695478,1.0663267,1.0076916,1.1754925,1.1027169,0.9517424,1.2112614,1.049771,1.0307485,1.144657,1.117787,1.1759356,1.0365944,1.1407797,1.0561228,1.2528346,0.97645974,1.1341323,1.0665276,1.0929892,1.1515828,1.1213754,1.0456228,1.0583159,1.042474,1.1226444,1.0175921,0.9869834,0.9411894,0.97962296,0.94172275,1.0634588,0.9823426,0.9678209,0.95801735,1.0667009,0.9769863,0.9685505,0.99145895,1.0534456,1.0016041
1557771_at,0.74537104,0.7016016,0.7157631,0.79967225,0.7608463,0.73796046,0.7552729,0.746355,0.7314506,0.67322433,0.8029959,0.7661721,0.8601964,0.7198227,0.7728455,0.6452647,0.7716806,0.73393697,0.7130694,0.7968129,1.06463,0.69357955,0.7576972,0.7491749,0.7515798,0.68940777,0.7806065,0.72705096,0.7975646,0.60760254,0.76127714,0.7554152,0.7455114,0.716303,0.7679075,0.66993254,0.71495426,0.71630317,0.74270606,0.64347935,0.61269873,0.60204977,0.55673695,0.5854843,0.5784269,0.63540244,0.60046345,0.6237709,0.63900644,0.59955806,0.6124677,0.7360573,0.5788646,0.72750413
1558620_at,0.7196451,0.7322358,1.1318344,2.876748,2.3225965,1.0446863,0.94891953,0.4755956,1.3492446,1.1146823,0.5196605,0.62842023,0.7008997,0.4605084,0.97319776,0.8925241,0.556993,3.670158,2.5671382,0.46688974,1.4024105,1.7291735,0.49629745,0.685738,0.6090582,1.0203555,0.42050752,0.9373622,0.35148805,1.5439439,0.4912708,1.0992393,1.1844448,0.44766828,0.6504791,1.2290293,1.2129176,1.910156,0.7636758,11.093197,6.2457194,11.011927,9.732982,12.541734,6.015761,12.725116,6.482044,8.516618,3.050523,8.004426,7.5799837,9.059876,4.817528,10.162126
1559028_at,0.8456552,0.8061149,0.81282943,0.8788116,1.0237994,0.84151995,0.84805,0.8342533,0.8304878,0.7830475,0.83993506,0.86174905,0.98072475,0.80809283,0.82533723,0.7915073,0.8177479,0.83283955,0.79945576,0.93258065,0.80855006,0.7851171,0.81022865,0.83472586,0.8462934,0.7227551,0.8841298,0.7815723,0.90163547,0.7891235,0.845815,0.746857,0.8427901,0.86696327,0.86827207,0.8448584,0.80748385,0.7991543,0.82939255,0.72515863,0.7364558,0.72242904,0.7613251,0.70467377,0.78353804,0.7261161,0.78787667,0.67680955,0.75430137,0.7313365,0.74863434,0.733684,0.7871038,0.75472796
1561542_at,0.6881159,0.66766953,0.6606577,0.70518863,0.67246985,0.69110596,0.6992315,0.67577374,0.6739931,0.63789284,0.69006455,0.7066527,0.6774323,0.6672918,0.67019176,0.64490587,0.697257,0.6820456,0.6560652,0.7233665,0.6519964,0.6499103,0.7001549,0.69306326,0.69293255,0.493253,0.7129422,0.67450106,0.7263733,0.6474642,0.69975924,0.6636536,0.67947865,0.69870424,0.700419,0.6472199,0.656808,0.65433615,0.67730474,0.60128635,0.6096184,0.60640854,0.5982004,0.58232117,0.613793,0.5958695,0.5993624,0.58419013,0.6222753,0.59598184,0.60185313,0.61042327,0.6338558,0.61608845
