"","Gene","p.value","Adjusted.p.value"
"1","1552596_at",6.44194220789289e-14,3.52058583603554e-09
"2","1553498_at",3.21115922803298e-11,1.75441684423582e-06
"3","1555238_at",7.88628020742255e-08,0.00430393742320085
"4","1555634_a_at",1.89273660131109e-08,0.00103328276538775
"5","1556809_a_at",1.51075558930023e-07,0.00824374002413456
"6","1557595_at",5.02780496891567e-08,0.00274427650813355
"7","1557771_at",3.89932451893372e-08,0.00212844628865997
"8","1558620_at",2.81082625397473e-18,1.53651006347275e-13
"9","1559028_at",1.34316132324147e-09,7.33554125075099e-05
"10","1561542_at",5.94601969616408e-13,3.24938084355975e-08
"11","1562577_at",4.06619794991181e-08,0.00221949348897986
"12","1562906_at",6.69372072100046e-11,3.65677962988255e-06
"13","1565660_at",1.65580020663839e-07,0.00903487382752238
"14","1565795_at",7.48801809912974e-12,4.0913782091835e-07
"15","1566908_at",1.25081777886267e-08,0.000682908982725651
"16","1568691_at",7.18902157292749e-16,3.92915974068352e-11
"17","1569478_s_at",1.63249509062009e-16,8.92321816532942e-12
"18","1569793_at",5.83328152214557e-09,0.000318508837672193
"19","1569909_at",1.40551724771791e-09,7.6759513449618e-05
"20","1570408_at",3.06769217554963e-11,1.6760642970333e-06
"21","1570568_at",1.7244862874703e-07,0.00940931453032419
"22","201402_at",6.54442096800435e-08,0.00357174863170773
"23","205075_at",1.5525228241737e-10,8.48112168389607e-06
"24","205468_s_at",2.15575169750991e-08,0.00117682485167066
"25","206097_at",1.01277391473775e-12,5.53440433447589e-08
"26","206227_at",1.53399349199305e-14,8.38358123244039e-10
"27","206657_s_at",2.10969514648902e-12,1.15284291279892e-07
"28","206658_at",8.08095409209383e-08,0.00441009988621928
"29","206718_at",1.95480080735102e-08,0.001067145308741
"30","206763_at",9.99673952680833e-08,0.00545542069456984
"31","206783_at",5.26888475920063e-10,2.87786485547538e-05
"32","207488_at",6.9498365051199e-29,3.7996841124442e-24
"33","207510_at",2.77543470008076e-08,0.00151505429408009
"34","209374_s_at",2.32882730677146e-09,0.000127167943913563
"35","209640_at",2.3906490615484e-10,1.30591595636143e-05
"36","210116_at",1.40342029820609e-08,0.000766197311805615
"37","211234_x_at",1.15201624979513e-08,0.000628977832063143
"38","211295_x_at",7.16783338415021e-12,3.91650416109968e-07
"39","211318_s_at",7.79647722295853e-22,4.26210020347474e-17
"40","211407_at",3.77570713950642e-08,0.00206100749917098
"41","211619_s_at",1.16588634588846e-07,0.00636235837814791
"42","211845_at",1.95260617086318e-13,1.06707974631502e-08
"43","212833_at",1.08750381472836e-19,5.94483960321258e-15
"44","213755_s_at",6.59761329450769e-16,3.60599152224613e-11
"45","213985_s_at",5.64011981237037e-08,0.00307832099239362
"46","214301_s_at",3.67523252276256e-10,2.00744875625814e-05
"47","214339_s_at",1.89096593350563e-09,0.000103261867696875
"48","214580_x_at",5.68790585430665e-22,3.10946437243236e-17
"49","214614_at",3.74054752322897e-09,0.000204245116410872
"50","215189_at",1.66885805818667e-07,0.00910595710868973
"51","215827_x_at",1.33239318622899e-07,0.00727060313861436
"52","216138_at",1.19776616744027e-10,6.54327679610947e-06
"53","216340_s_at",6.37016809362255e-16,3.48174277493128e-11
"54","216490_x_at",7.86010891944519e-18,4.29649273754713e-13
"55","216495_x_at",2.21000821684206e-10,1.20726118861431e-05
"56","216530_at",6.84610113952927e-13,3.74118888971856e-08
"57","216853_x_at",2.68470753899639e-26,1.46775645864472e-21
"58","219422_at",5.54111836323487e-08,0.00302439781383723
"59","219554_at",2.50626745282745e-12,1.36952478692303e-07
"60","220003_at",3.92571359707843e-12,2.14504916657963e-07
"61","220593_s_at",3.39479793034039e-11,1.85471390126217e-06
"62","220896_at",1.75367809231086e-11,9.58157099295884e-07
"63","221379_at",4.91578857544671e-11,2.68559361453805e-06
"64","221975_s_at",2.54075829231053e-08,0.00138697454418939
"65","221982_x_at",1.78547048575868e-09,9.75045432272818e-05
"66","222075_s_at",3.21264978072781e-10,1.75487781622476e-05
"67","222089_s_at",1.64928787500398e-07,0.00899950421874672
"68","222178_s_at",1.96600789898996e-39,1.07491481877276e-34
"69","222733_x_at",1.3882160603202e-08,0.000757910440292416
"70","223540_at",3.38366518278529e-10,1.84822559614098e-05
"71","223541_at",7.2043721079895e-08,0.00393185812165635
"72","223733_s_at",2.89621194682904e-10,1.58205577595536e-05
"73","223759_s_at",1.83108651769303e-09,9.99938036446985e-05
"74","224672_x_at",1.77946096499555e-07,0.00970909491720871
"75","224687_at",2.60121582685536e-23,1.42208469254183e-18
"76","226928_x_at",4.37834137687486e-16,2.39311382977226e-11
"77","227343_at",3.8855379378601e-11,2.12278594159111e-06
"78","227555_s_at",1.67868212073558e-08,0.000916442930173178
"79","228016_s_at",3.28570874945955e-10,1.79475269021729e-05
"80","228163_at",8.92427714986458e-10,4.87417245094154e-05
"81","228252_at",1.16216211345151e-14,6.35156459864651e-10
"82","229659_s_at",1.43571147150268e-09,7.84070748817041e-05
"83","230832_at",6.62685454961278e-27,3.6230339193643e-22
"84","230851_x_at",1.49380977031098e-09,8.15784453664528e-05
"85","231360_at",1.40437468709837e-08,0.000766704316674486
"86","231378_at",2.23800978451045e-09,0.000122211000302762
"87","231691_at",4.04388355221342e-16,2.21034631080433e-11
"88","232189_at",2.94921772448605e-08,0.0016098894792652
"89","232290_at",1.60159975986782e-13,8.75274268767765e-09
"90","232532_at",7.96654552652659e-09,0.000434973385748352
"91","233125_at",4.91387455739579e-08,0.00268214014966335
"92","233245_at",9.03841126833006e-09,0.000493488216839553
"93","233854_x_at",9.52388200676715e-08,0.00519746812755304
"94","234109_x_at",1.90472614780913e-22,1.04129473774577e-17
"95","234113_at",5.88533947221753e-08,0.00321210057714689
"96","234342_at",6.83575265183687e-10,3.73355138338026e-05
"97","234769_at",9.22669355074486e-12,5.04128082225598e-07
"98","234922_s_at",3.82776034094288e-12,2.09156480549801e-07
