"","Gene","p.value","Adjusted.p.value"
"1","1007_s_at",0.00978688036222684,0.999984037523393
"2","1053_at",0.165189030710288,0.999984037523393
"3","117_at",0.574015503290614,0.999984037523393
"4","121_at",0.391293770660658,0.999984037523393
"5","1255_g_at",0.0438989201017751,0.999984037523393
"6","1294_at",0.093101982301412,0.999984037523393
"7","1316_at",0.643191333571587,0.999984037523393
"8","1320_at",0.178155297588409,0.999984037523393
"9","1405_i_at",0.969761486614793,0.999984037523393
"10","1431_at",0.0691929972419562,0.999984037523393
"11","1438_at",0.0829144233947469,0.999984037523393
"12","1487_at",0.408032470316509,0.999984037523393
"13","1494_f_at",0.49993902166078,0.999984037523393
"14","1552256_a_at",0.355906705684099,0.999984037523393
"15","1552257_a_at",0.347634896085398,0.999984037523393
"16","1552258_at",0.517815054173283,0.999984037523393
"17","1552261_at",0.949300078263615,0.999984037523393
"18","1552263_at",0.949469964084408,0.999984037523393
"19","1552264_a_at",0.222499454535717,0.999984037523393
"20","1552266_at",0.453309711228555,0.999984037523393
"21","1552269_at",0.199173497771451,0.999984037523393
"22","1552271_at",0.803320583341383,0.999984037523393
"23","1552272_a_at",0.958660445251694,0.999984037523393
"24","1552274_at",0.158940373014888,0.999984037523393
"25","1552275_s_at",0.296219565115334,0.999984037523393
"26","1552276_a_at",0.402951586810515,0.999984037523393
"27","1552277_a_at",0.037961906102111,0.999984037523393
"28","1552278_a_at",0.0255795964270875,0.999984037523393
"29","1552279_a_at",0.644574162739786,0.999984037523393
"30","1552280_at",0.315352614406642,0.999984037523393
"31","1552281_at",0.810209752386229,0.999984037523393
"32","1552283_s_at",0.170851348516521,0.999984037523393
"33","1552286_at",0.265484231358052,0.999984037523393
"34","1552287_s_at",0.0773197669426571,0.999984037523393
"35","1552288_at",0.00554743148060705,0.999984037523393
"36","1552289_a_at",0.47874998613419,0.999984037523393
"37","1552291_at",0.281687238420683,0.999984037523393
"38","1552293_at",0.409832346464162,0.999984037523393
"39","1552295_a_at",0.53865978503505,0.999984037523393
"40","1552296_at",0.384758906510033,0.999984037523393
"41","1552299_at",0.351735403740146,0.999984037523393
"42","1552301_a_at",0.683374326624722,0.999984037523393
"43","1552302_at",0.260438282374067,0.999984037523393
"44","1552303_a_at",0.0101262736298015,0.999984037523393
"45","1552304_at",0.721711590571179,0.999984037523393
"46","1552306_at",0.938202082805549,0.999984037523393
"47","1552307_a_at",0.149285886233593,0.999984037523393
"48","1552309_a_at",0.223091643838883,0.999984037523393
"49","1552310_at",0.518207883522771,0.999984037523393
"50","1552311_a_at",0.138979761801803,0.999984037523393
"51","1552312_a_at",0.236457513302838,0.999984037523393
"52","1552314_a_at",0.238571792805807,0.999984037523393
"53","1552315_at",0.645403852888873,0.999984037523393
"54","1552316_a_at",0.395172698977837,0.999984037523393
"55","1552318_at",0.163335027589881,0.999984037523393
"56","1552319_a_at",0.293693149357498,0.999984037523393
"57","1552320_a_at",0.32866940240963,0.999984037523393
"58","1552321_a_at",0.230161614674123,0.999984037523393
"59","1552322_at",0.389617979424476,0.999984037523393
"60","1552323_s_at",0.993936312660112,0.999984037523393
"61","1552325_at",0.918588137049341,0.999984037523393
"62","1552326_a_at",0.0228314695614325,0.999984037523393
"63","1552327_at",0.38847853229766,0.999984037523393
"64","1552329_at",0.144306765059114,0.999984037523393
"65","1552330_at",0.0888815976516735,0.999984037523393
"66","1552332_at",0.673419572907411,0.999984037523393
"67","1552334_at",0.0201279228241057,0.999984037523393
"68","1552335_at",0.216794030704397,0.999984037523393
"69","1552337_s_at",0.278892916733111,0.999984037523393
"70","1552338_at",0.988542819614399,0.999984037523393
"71","1552340_at",0.568975364247202,0.999984037523393
"72","1552343_s_at",0.254466789102948,0.999984037523393
"73","1552344_s_at",0.0916012899797938,0.999984037523393
"74","1552347_at",0.115075894354254,0.999984037523393
"75","1552348_at",0.87770055278246,0.999984037523393
"76","1552349_a_at",0.605261575374717,0.999984037523393
"77","1552354_at",0.0204274597595195,0.999984037523393
"78","1552355_s_at",0.215075503705784,0.999984037523393
"79","1552359_at",0.507052943063301,0.999984037523393
"80","1552360_a_at",0.557849083452855,0.999984037523393
"81","1552362_a_at",0.200735726940513,0.999984037523393
"82","1552364_s_at",0.605638781775155,0.999984037523393
"83","1552365_at",0.0461966284480507,0.999984037523393
"84","1552367_a_at",0.108037943467444,0.999984037523393
"85","1552368_at",0.814918384475982,0.999984037523393
"86","1552370_at",0.263811196454629,0.999984037523393
"87","1552372_at",0.850351349562712,0.999984037523393
"88","1552373_s_at",0.812449227304859,0.999984037523393
"89","1552375_at",0.718104096462904,0.999984037523393
"90","1552377_s_at",0.295517177982614,0.999984037523393
"91","1552378_s_at",0.749899898746441,0.999984037523393
"92","1552379_at",0.832121508413366,0.999984037523393
"93","1552381_at",0.0104081987697482,0.999984037523393
"94","1552383_at",0.380568643856027,0.999984037523393
"95","1552384_a_at",0.501554089798749,0.999984037523393
"96","1552386_at",0.0843962318827256,0.999984037523393
"97","1552388_at",0.143078410308425,0.999984037523393
"98","1552389_at",0.769623853636809,0.999984037523393
"99","1552390_a_at",0.929725930039779,0.999984037523393
"100","1552391_at",0.63556699172866,0.999984037523393
"101","1552393_at",0.925506172734446,0.999984037523393
"102","1552394_a_at",0.273418849379012,0.999984037523393
"103","1552395_at",0.507669397714044,0.999984037523393
"104","1552396_at",0.662376876467415,0.999984037523393
"105","1552398_a_at",0.924571185360161,0.999984037523393
"106","1552399_a_at",0.198734009120103,0.999984037523393
"107","1552400_a_at",0.036580257826928,0.999984037523393
"108","1552401_a_at",0.390180343418585,0.999984037523393
"109","1552402_at",0.387291014350985,0.999984037523393
"110","1552405_at",0.963120712079955,0.999984037523393
"111","1552408_at",0.742684136866298,0.999984037523393
"112","1552409_a_at",0.396827070489537,0.999984037523393
"113","1552410_at",0.497343094919101,0.999984037523393
"114","1552411_at",0.529915610054216,0.999984037523393
"115","1552412_a_at",0.56549569907331,0.999984037523393
"116","1552414_at",0.383958297514044,0.999984037523393
"117","1552415_a_at",0.689886573270562,0.999984037523393
"118","1552417_a_at",0.0603509726956807,0.999984037523393
"119","1552418_at",0.164882589340977,0.999984037523393
"120","1552419_s_at",0.0357569652589254,0.999984037523393
"121","1552421_a_at",0.719663410295957,0.999984037523393
"122","1552422_at",0.580514539282581,0.999984037523393
"123","1552423_at",0.0786406847236753,0.999984037523393
"124","1552424_at",0.656327051781016,0.999984037523393
"125","1552425_a_at",0.541093369853367,0.999984037523393
"126","1552426_a_at",0.018066832744341,0.999984037523393
"127","1552427_at",0.230948546582133,0.999984037523393
"128","1552430_at",0.581793485433374,0.999984037523393
"129","1552432_at",0.0803811386282455,0.999984037523393
"130","1552436_a_at",0.6781277855034,0.999984037523393
"131","1552438_a_at",0.0182723246932753,0.999984037523393
"132","1552439_s_at",0.769193375206088,0.999984037523393
"133","1552440_at",0.405170122955862,0.999984037523393
"134","1552445_a_at",0.484904993277425,0.999984037523393
"135","1552448_a_at",0.250434099865063,0.999984037523393
"136","1552449_a_at",0.89678826711974,0.999984037523393
"137","1552450_a_at",0.0100238823610621,0.999984037523393
"138","1552452_at",0.934822791689806,0.999984037523393
"139","1552453_a_at",0.787167518073074,0.999984037523393
"140","1552455_at",0.234451568105315,0.999984037523393
"141","1552456_a_at",0.805178088374828,0.999984037523393
"142","1552457_a_at",0.868252282941826,0.999984037523393
"143","1552458_at",0.380660553142894,0.999984037523393
"144","1552459_a_at",0.883747004250458,0.999984037523393
"145","1552461_at",0.880637573681903,0.999984037523393
"146","1552463_at",0.93420971038441,0.999984037523393
"147","1552466_x_at",0.292835386674374,0.999984037523393
"148","1552467_at",0.00220331290589124,0.999984037523393
"149","1552468_a_at",0.881438241119056,0.999984037523393
"150","1552470_a_at",0.712228963662106,0.999984037523393
"151","1552472_a_at",0.18956811688149,0.999984037523393
"152","1552473_at",0.000275463989471382,0.999984037523393
"153","1552474_a_at",0.562691384630681,0.999984037523393
"154","1552476_s_at",0.143697544154681,0.999984037523393
"155","1552477_a_at",0.303153229492671,0.999984037523393
"156","1552478_a_at",0.985189005769287,0.999984037523393
"157","1552480_s_at",0.680915350353533,0.999984037523393
"158","1552481_s_at",0.222557313057879,0.999984037523393
"159","1552482_at",0.689659767317743,0.999984037523393
"160","1552484_at",0.78784157725261,0.999984037523393
"161","1552485_at",0.118760508798452,0.999984037523393
"162","1552486_s_at",0.0548866543194597,0.999984037523393
"163","1552487_a_at",0.649623783522065,0.999984037523393
"164","1552489_s_at",0.181671638433206,0.999984037523393
"165","1552490_at",0.428126014793,0.999984037523393
"166","1552491_at",0.372418854923251,0.999984037523393
"167","1552493_s_at",0.209425208579965,0.999984037523393
"168","1552494_at",0.428253246404802,0.999984037523393
"169","1552496_a_at",0.845420096656769,0.999984037523393
"170","1552497_a_at",0.896888203633665,0.999984037523393
"171","1552498_at",0.604391664294521,0.999984037523393
"172","1552499_a_at",0.191519551316773,0.999984037523393
"173","1552501_a_at",0.781288440627405,0.999984037523393
"174","1552502_s_at",0.529645230561238,0.999984037523393
"175","1552503_at",0.0776737647948804,0.999984037523393
"176","1552504_a_at",0.160813029317851,0.999984037523393
"177","1552506_at",0.0485567931686205,0.999984037523393
"178","1552507_at",0.0259887337594532,0.999984037523393
"179","1552508_at",0.451359177004977,0.999984037523393
"180","1552509_a_at",0.266405218441741,0.999984037523393
"181","1552510_at",0.160275030813961,0.999984037523393
"182","1552511_a_at",0.948050843686528,0.999984037523393
"183","1552514_at",0.00850752242022835,0.999984037523393
"184","1552515_at",0.51534200828963,0.999984037523393
"185","1552516_a_at",0.00273021889552416,0.999984037523393
"186","1552518_s_at",0.260364920760102,0.999984037523393
"187","1552519_at",0.639191373746182,0.999984037523393
"188","1552520_at",0.904144942234464,0.999984037523393
"189","1552521_a_at",0.376985901818569,0.999984037523393
"190","1552522_at",0.71153539617951,0.999984037523393
"191","1552523_a_at",0.715482456693713,0.999984037523393
"192","1552524_at",1.59300681253134e-05,0.867153258401435
"193","1552526_at",0.735614941866003,0.999984037523393
"194","1552528_at",0.227002817294647,0.999984037523393
"195","1552531_a_at",0.341315383336021,0.999984037523393
"196","1552532_a_at",0.42306254836453,0.999984037523393
"197","1552535_at",0.353180988342338,0.999984037523393
"198","1552536_at",0.211849228037115,0.999984037523393
"199","1552538_a_at",0.189190080900062,0.999984037523393
"200","1552540_s_at",0.650713716060713,0.999984037523393
"201","1552541_at",0.0320843975924414,0.999984037523393
"202","1552542_s_at",0.52207704364622,0.999984037523393
"203","1552543_a_at",0.00218232126782864,0.999984037523393
"204","1552544_at",0.833103000424923,0.999984037523393
"205","1552546_a_at",0.295503901661001,0.999984037523393
"206","1552548_at",0.843244726707177,0.999984037523393
"207","1552549_a_at",0.598792645835585,0.999984037523393
"208","1552552_s_at",0.102393586874241,0.999984037523393
"209","1552553_a_at",0.711487542834231,0.999984037523393
"210","1552554_a_at",0.430486330233945,0.999984037523393
"211","1552555_at",0.000197556649051577,0.999984037523393
"212","1552557_a_at",0.0437737501874473,0.999984037523393
"213","1552558_a_at",0.311546154110411,0.999984037523393
"214","1552559_a_at",0.982051701176323,0.999984037523393
"215","1552562_at",0.0270141896394306,0.999984037523393
