"","Genes","FC.Value","log2.of.FC"
"1","1553498_at",1.23044644756769,0.299181869084343
"2","1555634_a_at",1.19171766108798,0.253042476407363
"3","1558620_at",7.8016077619138,2.9637714664262
"4","1562906_at",1.13074687856593,0.177276013405832
"5","1570408_at",1.3026397169666,0.381438119655132
"6","1570568_at",1.32550739525486,0.406544719294386
"7","205468_s_at",1.11796001137015,0.160868584934455
"8","206097_at",1.20530265445525,0.269395456211796
"9","207488_at",2.0735126049871,1.05207681748603
"10","209374_s_at",1.15154231954394,0.203567431603428
"11","211234_x_at",1.1840749269136,0.243760375955448
"12","211407_at",1.19678580747436,0.259164971708708
"13","211619_s_at",1.26987726937982,0.344689070687852
"14","211845_at",1.19760071813378,0.260146991612289
"15","212833_at",11.2930772121372,3.49736674962414
"16","213755_s_at",1.22170161681748,0.288891970506698
"17","214301_s_at",1.316187999603,0.396365573209574
"18","215827_x_at",1.19764938680769,0.260205619355885
"19","216853_x_at",1.35515749056786,0.438460525127478
"20","220896_at",1.15832581529267,0.212041113424185
"21","222178_s_at",3.36273451111247,1.74963488215893
"22","223540_at",1.25001157106812,0.321941449643625
"23","224687_at",32.6518559862986,5.02909309419742
"24","227343_at",1.39683507619874,0.482161692332143
"25","231378_at",1.09310744612745,0.128435216541922
"26","232290_at",1.18873323186942,0.249424990743497
"27","233245_at",1.25261629491226,0.324944551767441
"28","234109_x_at",1.45388781439193,0.539915951606465
"29","234342_at",1.32491508758753,0.405899901832943
"30","235753_at",1.33745161330845,0.419486698240752
"31","235994_s_at",1.11042693882295,0.15111447306019
"32","236049_at",1.30852766420647,0.387944425411238
"33","236199_at",1.11952072749043,0.162881239374808
"34","237641_at",1.21321515132479,0.27883542038814
"35","240199_x_at",1.41581259426164,0.501630313992618
"36","241087_at",1.36374629815211,0.447575280402346
"37","242415_at",1.58182732907005,0.661592125038104
