"","Gene","p.value","Adjusted.p.value"
"1","1007_s_at",0.161671743500076,0.999954668614677
"2","1053_at",0.221682854468948,0.999954668614677
"3","117_at",0.474455403512294,0.999954668614677
"4","121_at",0.613637140662388,0.999954668614677
"5","1255_g_at",0.0171807115107109,0.999954668614677
"6","1294_at",0.00905695038539497,0.999954668614677
"7","1316_at",0.687639085055862,0.999954668614677
"8","1320_at",0.00111372349986337,0.999954668614677
"9","1405_i_at",0.110107452620501,0.999954668614677
"10","1431_at",0.0083777848929648,0.999954668614677
"11","1438_at",0.350923071706335,0.999954668614677
"12","1487_at",0.134411540353406,0.999954668614677
"13","1494_f_at",0.276838888796317,0.999954668614677
"14","1552256_a_at",0.711689502321656,0.999954668614677
"15","1552257_a_at",0.680162072341538,0.999954668614677
"16","1552258_at",0.660254405540261,0.999954668614677
"17","1552261_at",0.00678985283910938,0.999954668614677
"18","1552263_at",0.822654569156906,0.999954668614677
"19","1552264_a_at",0.76836674322984,0.999954668614677
"20","1552266_at",0.00587404405743369,0.999954668614677
"21","1552269_at",0.116601472701798,0.999954668614677
"22","1552271_at",0.459581367444339,0.999954668614677
"23","1552272_a_at",0.464078923533111,0.999954668614677
"24","1552274_at",0.996108584387015,0.999954668614677
"25","1552275_s_at",0.744400450561503,0.999954668614677
"26","1552276_a_at",0.0211569495190982,0.999954668614677
"27","1552277_a_at",0.00218673641015206,0.999954668614677
"28","1552278_a_at",0.0286878984803025,0.999954668614677
"29","1552279_a_at",0.570710666683897,0.999954668614677
"30","1552280_at",0.018397023602416,0.999954668614677
"31","1552281_at",0.000141911118319158,0.999954668614677
"32","1552283_s_at",0.668905849719208,0.999954668614677
"33","1552286_at",0.55681860701217,0.999954668614677
"34","1552287_s_at",0.640438887028509,0.999954668614677
"35","1552288_at",0.209459428103737,0.999954668614677
"36","1552289_a_at",0.491052401083761,0.999954668614677
"37","1552291_at",0.236708178621443,0.999954668614677
"38","1552293_at",0.258512911082149,0.999954668614677
"39","1552295_a_at",0.16516472759556,0.999954668614677
"40","1552296_at",0.962575023712304,0.999954668614677
"41","1552299_at",0.634373763414508,0.999954668614677
"42","1552301_a_at",0.0300716611321414,0.999954668614677
"43","1552302_at",0.223131039664198,0.999954668614677
"44","1552303_a_at",0.00422386928059183,0.999954668614677
"45","1552304_at",0.0301985040975967,0.999954668614677
"46","1552306_at",0.00375790425610698,0.999954668614677
"47","1552307_a_at",0.0432630218583319,0.999954668614677
"48","1552309_a_at",0.293202102057797,0.999954668614677
"49","1552310_at",0.0105815090575524,0.999954668614677
"50","1552311_a_at",0.677469434069336,0.999954668614677
"51","1552312_a_at",0.038119732544981,0.999954668614677
"52","1552314_a_at",0.744848263049397,0.999954668614677
"53","1552315_at",0.0389024399673484,0.999954668614677
"54","1552316_a_at",0.04046797520501,0.999954668614677
"55","1552318_at",0.114047137465337,0.999954668614677
"56","1552319_a_at",0.000755616651775218,0.999954668614677
"57","1552320_a_at",0.00237438672697725,0.999954668614677
"58","1552321_a_at",0.0378727415236833,0.999954668614677
"59","1552322_at",0.0477762666286252,0.999954668614677
"60","1552323_s_at",0.55717602980175,0.999954668614677
"61","1552325_at",0.0818592839897964,0.999954668614677
"62","1552326_a_at",0.0104792500847922,0.999954668614677
"63","1552327_at",0.466802875553879,0.999954668614677
"64","1552329_at",0.720252979056776,0.999954668614677
"65","1552330_at",0.122402543529922,0.999954668614677
"66","1552332_at",0.708526697172504,0.999954668614677
"67","1552334_at",0.449062086722955,0.999954668614677
"68","1552335_at",0.0344514544312064,0.999954668614677
"69","1552337_s_at",0.0161034531044199,0.999954668614677
"70","1552338_at",0.0235907603977635,0.999954668614677
