ID_REF,GSM119615,GSM119616,GSM119617,GSM119618,GSM119619,GSM119620,GSM119621,GSM119622,GSM119623,GSM119624,GSM119625,GSM119626,GSM119627,GSM238763,GSM238790,GSM238791,GSM238792,GSM238793,GSM238794,GSM238795,GSM238796,GSM238797,GSM238798
1552473_at,149.07991,234.66893,107.40279,412.50275,422.64365,283.1898,279.446,281.2634,339.08484,347.90588,202.72047,100.09492,317.4912,65.8023,139.033,66.7869,55.046,61.2821,69.1618,79.1177,69.4479,83.3843,44.6859
1553993_s_at,368.73853,1719.7719,1606.9012,3390.7053,561.81866,3330.5508,4135.594,3337.1008,2457.3198,4592.1387,1150.6812,5894.278,4211.9565,244.572,163.015,268.278,142.819,127.823,392.102,185.811,230.491,134.87,120.614
1558796_a_at,4013.2007,5153.696,6269.48,8107.7183,7142.6567,9297.53,6347.2554,7935.4395,5509.1475,7445.5356,3935.4932,3616.4126,4594.225,318.908,2600.06,1010.82,1004.83,807.583,462.043,1098.73,840.301,780.654,921.918
1559957_a_at,544.53064,2418.1633,1469.6001,1831.7887,1972.7904,2829.28,2480.962,1012.2643,2660.2043,3301.9583,927.8657,2898.3875,4273,339.496,599.215,373.607,538.38,423.837,314.261,610.707,157.515,468.987,327.097
1569872_a_at,3937.211,4871.4316,7967.437,8203.512,7210.548,8754.738,5551.5874,5005.1494,6616.12,4505.3657,3919.3967,3520.8354,4674.6284,1681.37,4036.54,1891.91,2080.29,1954.03,2031.01,1551.48,2114.87,1428.93,1253.41
200041_s_at,890.4994,1117.2362,1001.6142,1139.4541,2069.881,1712.2047,595.6045,1468.2644,999.2638,1513.2732,1283.5309,1008.59576,1326.9031,285.27,594.437,309.447,548.034,483.302,562.702,481.685,448.58,429.741,596.86
200918_s_at,506.14984,785.7939,356.4308,556.92554,1922.8186,590.1705,458.39032,924.5605,817.85223,732.3404,1057.0419,711.19556,992.34625,241.624,229.811,228.629,262.342,174.656,160.186,212.943,155.747,112.575,195.232
200966_x_at,2239.266,7232.5854,5166.223,6517.197,15897.386,8783.746,9485.166,14838.289,13793.477,16471.213,8760.644,19615.527,15667.279,1102.37,3770.4,627.53,693.457,819.159,1760.85,1299.95,494.169,736.527,1544.68
201168_x_at,206.37216,612.8677,411.91306,719.07965,683.11005,878.3787,370.18613,721.95386,549.6011,906.0539,456.2321,913.6715,749.34064,62.1269,141.434,35.4327,113.741,40.4006,112.141,82.1713,75.7031,33.2593,37.8748
201345_s_at,173.1305,360.32977,505.21527,574.3771,693.3894,702.2421,780.31134,761.3409,529.23474,1299.2163,416.92404,331.63226,1093.9185,212.194,142.701,91.7908,97.2141,126.628,120.449,119.187,135.939,97.7437,130.128
201613_s_at,1197.9834,2821.3857,1519.5145,3139.6724,1534.259,4976.8154,2592.6008,2240.1753,3837.7424,1633.4172,923.43555,1674.0457,1188.7333,261.535,772.81,443.431,255.061,331.037,235.885,253.77,257.19,227.588,254.466
201828_x_at,1983.8665,5467.6694,2802.7112,3454.126,6125.6636,6200.2656,4976.8315,9392.223,8280.783,10729.574,5568.616,5198.7837,8611.048,630.368,1378.25,612.182,929.347,537.338,877.79,944.646,642.81,510.711,705.444
202059_s_at,300.9753,1126.4473,923.4978,830.04553,704.6158,1853.6777,1306.9252,1741.4827,1496.5862,3713.4404,893.33295,2574.1797,1963.6613,155.541,159.114,200.462,268.461,232.867,224.205,219.567,275.142,237.988,336.493
202082_s_at,384.3302,220.29927,239.1147,240.25209,566.38245,155.77277,246.76378,224.6247,166.24869,141.9555,282.35648,212.97722,192.34442,656.399,363.684,721.462,947.742,675.28,851.697,921.929,858.812,1033.35,795.202
202102_s_at,565.9754,1555.1356,1560.7118,2157.656,2507.5383,1799.1125,1920.9121,2981.0847,2114.8254,2655.12,1789.9391,2516.7393,2338.526,808.377,439.314,469.232,686.558,680.535,830.605,723.595,551.843,628.906,484.033
202144_s_at,585.1403,830.1147,581.49615,767.8149,1731.3055,654.68195,759.5115,1197.1799,827.08606,1380.8578,967.47504,799.2579,778.7186,266.805,471.893,265.827,286.141,287.098,255.401,379.577,254.324,364.746,300.467
202452_at,227.51836,833.6974,658.5592,700.55194,944.4127,1145.3258,763.4248,789.6756,747.0738,713.4903,596.8993,859.31866,596.81665,195.227,186.874,312.706,339.285,333.277,318.644,219.2,175.802,209.6,197.584
