"","Genes","FC.Value","log2.of.FC"
"1","1552473_at",0.274298711048444,-1.8661802520245
"2","1553993_s_at",0.0711013959516746,-3.81397830485566
"3","1558796_a_at",0.1612694648467,-2.63245479392957
"4","1559957_a_at",0.188640202158128,-2.40629092537789
"5","1569872_a_at",0.348296793102487,-1.5216109053289
"6","200041_s_at",0.382112806274875,-1.38792948534778
"7","200918_s_at",0.246433391594159,-2.02073034119471
"8","200966_x_at",0.115622973841936,-3.11250001058861
"9","201168_x_at",0.116713297102212,-3.09895915877283
"10","201345_s_at",0.201449234397489,-2.31151177231495
"11","201613_s_at",0.146196617767353,-2.7740181597031
"12","201828_x_at",0.128179651474595,-2.96376084265581
"13","202059_s_at",0.154553112335025,-2.69382538792451
"14","202102_s_at",0.309632765726868,-1.69136994753153
"15","202144_s_at",0.343317274363341,-1.54238564507446
"16","202452_at",0.337761119282237,-1.56592483023859
"17","202471_s_at",0.132718308106332,-2.91356069484746
"18","202732_at",0.425494628982449,-1.23278717399679
"19","203036_s_at",0.130392066299067,-2.93907200337971
"20","203114_at",0.053840371461658,-4.21516782618528
"21","203190_at",0.176382725365156,-2.50321882225947
"22","203274_at",0.217335914954614,-2.20200149401981
"23","203619_s_at",0.151721980836786,-2.72049798262483
"24","204230_s_at",0.186052946171312,-2.42621485898918
"25","204442_x_at",0.150573997648651,-2.73145543976611
"26","204454_at",0.153663624446656,-2.70215240703093
"27","204497_at",0.411650550208551,-1.28050794050475
"28","204538_x_at",0.23025997118182,-2.11866446272673
"29","204584_at",0.209682847682061,-2.25371924287637
"30","204805_s_at",0.398348323342589,-1.32789759229309
"31","205090_s_at",0.267825693142437,-1.90063372649122
"32","205250_s_at",0.389704769447791,-1.35954650667892
"33","205493_s_at",0.24830925605827,-2.00979005399092
"34","205914_s_at",0.0204467572858555,-5.61198412991159
"35","206014_at",0.0555612003876537,-4.16977842100604
"36","206140_at",0.263689851141534,-1.92308604886327
"37","206899_at",0.0889458291076542,-3.49092923427425
"38","207541_s_at",0.323979542681451,-1.62602537623365
"39","208336_s_at",0.106659622064284,-3.22891397376347
"40","208723_at",0.152470742473473,-2.71339566360834
"41","208972_s_at",0.1920573417254,-2.38039098044105
"42","209058_at",0.160002356286061,-2.64383494366732
"43","209268_at",0.38252877451967,-1.38635982081944
"44","209352_s_at",0.3765744780704,-1.40899286872431
"45","209516_at",0.0785523466638438,-3.67020181470439
"46","209609_s_at",0.230149669158342,-2.11935572620765
"47","209610_s_at",0.27338052211551,-1.87101763778245
"48","209658_at",0.383748933398518,-1.38176535426202
"49","209789_at",0.232414278520302,-2.10522939052683
"50","209845_at",0.214965790578123,-2.21782100572443
"51","209950_s_at",0.096212116729389,-3.37763759469195
"52","210111_s_at",0.360190437957217,-1.47316821262933
"53","210208_x_at",0.297434154486913,-1.74935777271667
"54","210463_x_at",0.279108004524362,-1.84110459491188
"55","210874_s_at",0.0813581796266341,-3.61956879023772
"56","210976_s_at",0.223576366242292,-2.16116040271297
"57","211716_x_at",0.232676040672407,-2.10360543499379
"58","211724_x_at",0.437619456668771,-1.19225121275429
"59","212281_s_at",0.103409027364629,-3.27356595985642
"60","212473_s_at",0.275106500904511,-1.86193786322348
"61","212576_at",0.21649081275899,-2.20762229242164
"62","212664_at",0.128530687845297,-2.95981523806358
"63","212775_at",0.265369162701688,-1.91392736322284
"64","213489_at",0.209538435744341,-2.25471319238644
"65","213526_s_at",0.200761695065527,-2.31644406270348
"66","213547_at",0.264727055233039,-1.91742244838839
"67","213773_x_at",0.370983395946628,-1.43057347710198
"68","213841_at",0.379315018436022,-1.39853160067618
"69","213869_x_at",0.257183593922836,-1.95912948068607
"70","214333_x_at",0.100006582283586,-3.32183313573369
"71","214687_x_at",0.105737226059847,-3.24144471062724
"72","214870_x_at",0.258601273234132,-1.95119871655263
"73","214934_at",0.254715992968234,-1.97303854928547
"74","215116_s_at",0.149697311151445,-2.73987978680643
"75","215235_at",0.250865305748519,-1.99501513265179
"76","215690_x_at",0.261919406449924,-1.93280513733011
"77","215700_x_at",0.182363060648293,-2.45511456722998
"78","217033_x_at",0.45750060830143,-1.1281544332549
"79","217250_s_at",0.266707078882256,-1.90667197778707
"80","217855_x_at",0.376721807374384,-1.40842854559395
"81","217871_s_at",0.0928418073147594,-3.42908158244496
"82","217969_at",0.262215424040038,-1.9311755446
"83","218012_at",0.318106686576702,-1.65241739735869
"84","218175_at",0.221727288993113,-2.17314175466757
"85","218522_s_at",0.270572022550326,-1.88591542414134
"86","218608_at",0.234345674048182,-2.09328993154829
"87","218661_at",0.317072877001673,-1.65711362296049
"88","218679_s_at",0.129813378092564,-2.9454890250076
"89","218745_x_at",0.129522677464299,-2.94872338075144
"90","218952_at",0.148091821140042,-2.75543612965919
"91","219192_at",0.293322750993581,-1.76943911969203
"92","221267_s_at",0.199173410696529,-2.32790303190234
"93","221488_s_at",0.229945243699498,-2.1206377382746
"94","221501_x_at",0.19779931541124,-2.33789066198811
"95","221538_s_at",0.26698060072861,-1.90519317787868
"96","222010_at",0.233990063013605,-2.095480831512
"97","222056_s_at",0.27009226238727,-1.88847578482727
"98","222315_at",0.22071549329113,-2.17974019064477
"99","223166_x_at",0.233717464990025,-2.09716254855849
"100","223212_at",0.36507955708393,-1.45371720869293
"101","223500_at",0.138222814846957,-2.85493233046383
"102","223628_at",0.126541412600274,-2.98231848881658
"103","223719_s_at",0.124292814220976,-3.00818520306197
"104","223950_s_at",0.211394994403363,-2.24198687916461
"105","224512_s_at",0.229541595000231,-2.12317248824978
"106","224690_at",0.339870425675908,-1.55694326577331
"107","224838_at",0.308873360664476,-1.69491264637096
"108","224903_at",0.198227838609053,-2.33476850974477
"109","225044_at",0.310780942909912,-1.68603005450178
"110","225441_x_at",0.198616189750006,-2.33194486920094
"111","225535_s_at",0.136580528137091,-2.87217627716311
"112","225969_at",0.167479520113196,-2.57794340551132
"113","226296_s_at",0.226410028967154,-2.14299023026561
"114","226305_at",0.284608901301006,-1.81294731123098
"115","226627_at",0.293465725328117,-1.76873607804818
"116","226764_at",0.235030582112529,-2.08907960281421
"117","227186_s_at",0.0853292384567837,-3.55081601741263
"118","227440_at",0.293279979441264,-1.76964950502891
"119","227441_s_at",0.168284794163398,-2.57102327101888
"120","227778_at",0.197796636732763,-2.33791019968122
"121","227847_at",0.353847093788659,-1.49880202466021
"122","228067_at",0.17229083366022,-2.53708214657302
"123","228261_at",0.247246744722134,-2.0159765684597
"124","228427_at",0.303478421376028,-1.72033415659604
"125","228943_at",0.110080604959041,-3.18336779123716
"126","229606_at",0.188222216400069,-2.40949117139813
"127","229872_s_at",0.254783364902841,-1.97265700942671
"128","231271_x_at",0.232200072824377,-2.10655967021467
"129","231783_at",0.080564677889076,-3.63370873568228
"130","231835_at",0.120089144925004,-3.05782234576419
"131","231969_at",0.223072628183832,-2.16441459433121
"132","232032_x_at",0.148884448525159,-2.7477350273834
"133","235377_at",0.250851666678552,-1.99509357137198
"134","235647_at",0.220093404821078,-2.18381217989179
"135","236264_at",0.289997875094048,-1.78588576569029
"136","236294_at",0.251024187799309,-1.99410171104259
"137","236656_s_at",0.229012782246356,-2.12649997093726
"138","239313_at",0.417678701496381,-1.2595345162154
"139","239733_at",0.132983178215881,-2.91068433216394
"140","34726_at",0.306419656835714,-1.70641924569964
"141","36553_at",0.219773444290614,-2.18591102208882
"142","39729_at",0.107227610146684,-3.22125166023966
"143","45828_at",0.278681449190308,-1.843311124207
"144","50374_at",0.250849569848881,-1.99510563068357
"145","53720_at",0.327803123479171,-1.60909849363351
"146","55872_at",0.422831887932785,-1.24184391299238
