"","Gene","p.value","Adjusted.p.value"
"1","1552473_at",1.80379734975662e-07,0.00983592656848789
"2","1553993_s_at",2.90851138639382e-08,0.00158842532345125
"3","1558796_a_at",1.63852197306131e-07,0.00893617113668179
"4","1559957_a_at",1.38511640198551e-07,0.00755525592627014
"5","1569872_a_at",1.36568496791054e-07,0.00744953836295839
"6","200041_s_at",1.13208729049121e-07,0.00617655504819098
"7","200918_s_at",1.16568709945737e-08,0.000636896460530523
"8","200966_x_at",3.96159024522015e-08,0.00216310750569511
"9","201168_x_at",7.2799211324878e-09,0.000397818570205928
"10","201345_s_at",4.6567306560778e-08,0.00254248180360536
"11","201613_s_at",1.28306884641125e-09,7.01325431448389e-05
"12","201828_x_at",1.05953111583498e-10,5.79256256338142e-06
"13","202059_s_at",1.39264144849744e-07,0.00759616278082927
"14","202082_s_at",3.74631805825267e-08,0.00204563951252829
"15","202102_s_at",8.82531335504385e-08,0.00481667952291583
"16","202144_s_at",8.01278929307239e-09,0.000437858870919941
"17","202452_at",1.16216743975566e-07,0.00634020446758698
"18","202471_s_at",1.14828028891854e-07,0.00626467277225288
"19","202732_at",1.72945174935811e-07,0.00943121922477458
"20","203036_s_at",1.72168662089438e-07,0.00938921798704751
"21","203114_at",1.22542435795681e-09,6.69829208302771e-05
"22","203190_at",3.5445290537378e-08,0.00193552553508406
"23","203274_at",7.53307588455315e-08,0.00411208013310103
"24","203619_s_at",1.30302065931145e-08,0.000711892307008216
"25","203645_s_at",1.35016827821796e-07,0.00736503294085116
"26","204230_s_at",1.06586023533145e-08,0.000582364715380398
"27","204442_x_at",4.86152090981174e-09,0.000265677256200302
"28","204454_at",9.04247899728168e-09,0.000494099137369466
"29","204497_at",9.2778361716642e-08,0.00506291519887715
"30","204538_x_at",2.08749975661285e-08,0.00114029674204977
"31","204584_at",1.88326936876125e-09,0.000102935737157752
"32","204805_s_at",1.81775384698384e-07,0.00991184817683347
"33","205090_s_at",9.18736400248276e-08,0.00501372828343489
"34","205250_s_at",1.38134432369866e-07,0.00753481888247908
"35","205493_s_at",1.2441758474756e-08,0.000679755474268292
"36","205914_s_at",3.83414598695325e-10,2.09589756230813e-05
"37","206014_at",1.45615534851877e-07,0.00794230811742595
"38","206140_at",3.46680745600204e-09,0.000189467961085424
"39","206899_at",6.28232971615359e-08,0.00342964943864257
"40","207541_s_at",1.10230709093908e-07,0.0060144079495818
"41","208336_s_at",3.26231336069769e-08,0.00178158194941061
"42","208723_at",4.52037653375301e-08,0.0024680803836638
"43","208972_s_at",1.85638084996896e-08,0.00101410373072104
"44","209058_at",1.76372217713868e-08,0.00096352142537086
"45","209268_at",1.74360971751388e-07,0.0095082525115467
"46","209352_s_at",1.09583270751889e-07,0.00597919200203534
"47","209516_at",1.03105467637989e-08,0.000563357964627207
"48","209609_s_at",1.0836542103368e-07,0.00591295919870277
"49","209610_s_at",6.82721549210374e-08,0.00372697693713943
"50","209658_at",8.89677169041604e-08,0.00485550211776146
"51","209789_at",5.84463728425764e-09,0.000319397738310112
"52","209845_at",1.16061968950887e-07,0.00633187677808458
"53","209950_s_at",4.22619404888863e-09,0.000230961504771763
"54","210111_s_at",1.37735482009661e-08,0.000752490258863382
"55","210208_x_at",1.30795345269008e-07,0.00713501687976968
"56","210463_x_at",1.54940862554172e-07,0.00845047464370451
"57","210874_s_at",1.48340657617853e-07,0.00809064780713535
"58","210976_s_at",1.82749139544099e-07,0.00996457958278152
"59","211716_x_at",3.43308430321618e-08,0.00187473867630029
"60","211724_x_at",7.61819724229443e-08,0.00415846914667884
"61","212281_s_at",9.0988694271784e-08,0.00496561700118834
"62","212473_s_at",6.62921000924299e-08,0.00361895203614584
"63","212576_at",3.40723220938704e-08,0.00186065543722417
"64","212664_at",8.73983132707193e-08,0.0047703747349424
"65","212775_at",8.81305315631502e-08,0.00481007628218518
"66","213489_at",8.53866927899049e-09,0.000466587044081157
"67","213519_s_at",1.78863928127815e-07,0.00975345000080976
"68","213526_s_at",8.87285732150161e-08,0.00484253934035593
"69","213547_at",3.49011233394415e-09,0.000190738129162382
"70","213773_x_at",2.38846063651469e-08,0.00130452943045159
"71","213841_at",1.82436075166241e-07,0.00994769187058963
"72","213869_x_at",1.12074041892617e-07,0.0061147597256612
"73","214333_x_at",2.38646175295392e-10,1.30467864033991e-05
"74","214687_x_at",6.88724337228401e-08,0.00375967728449612
"75","214870_x_at",1.24724323139696e-07,0.00680408600023984
"76","214934_at",3.53491804534188e-08,0.00193031269701984
"77","215116_s_at",8.93529800111405e-10,4.88421259336896e-05
"78","215235_at",2.46192181976762e-10,1.34588342043056e-05
"79","215690_x_at",1.20120563199153e-08,0.000656290709094892
"80","215700_x_at",2.80265929510887e-08,0.00153067237402371
"81","217033_x_at",1.26179287480737e-07,0.00688333249064917
"82","217250_s_at",9.25490350521849e-08,0.00505049339183278
"83","217855_x_at",1.76430529050206e-07,0.00962093317963677
"84","217871_s_at",2.30552326161108e-08,0.00125929986072459
"85","217969_at",3.71008303808201e-08,0.00202589084294468
"86","218012_at",8.77107777264533e-08,0.00478734195908755
"87","218175_at",2.44001872572524e-10,1.33393383716673e-05
"88","218522_s_at",3.9325308586862e-08,0.00214727982476843
"89","218608_at",4.29831819977898e-08,0.00234688173707932
"90","218661_at",7.25057388892758e-09,0.000396222111308225
"91","218679_s_at",4.93914706692067e-08,0.00269662612412668
"92","218745_x_at",4.23688382480326e-08,0.00231338093718083
"93","218952_at",6.14793167359961e-08,0.00335640181788497
"94","219192_at",1.33690828002339e-07,0.00729283466752759
"95","221267_s_at",1.72565377640586e-07,0.00941068030425172
"96","221488_s_at",9.59819893512362e-09,0.000524455188014089
"97","221501_x_at",1.13533440011226e-07,0.00619415742013244
"98","221538_s_at",2.04065211529141e-08,0.00111472662449908
"99","222010_at",9.12767002966321e-08,0.0049812433652881
"100","222056_s_at",2.21989041090335e-09,0.000121330330298333
"101","222315_at",1.64697428996995e-07,0.00898193898778014
"102","222565_s_at",1.46026218280349e-07,0.0079645619974468
"103","223166_x_at",5.45877447122687e-08,0.00298021792256631
"104","223212_at",8.64115852367431e-08,0.00471660355697715
"105","223500_at",1.23414405474519e-07,0.00673274947625691
"106","223628_at",1.64409941807869e-07,0.00896642499637573
"107","223719_s_at",3.32693266093197e-08,0.00181683792613495
"108","223950_s_at",3.06405787275958e-09,0.00016745995491993
"109","224512_s_at",7.33970660759082e-08,0.00400659904295168
"110","224690_at",1.56083537746886e-07,0.00851264006517744
"111","224838_at",1.04430352551801e-07,0.00569845104769412
"112","224903_at",8.85950696862101e-09,0.000484110039286358
"113","225044_at",5.2786681334956e-08,0.00288194165416326
"114","225441_x_at",2.09053296081441e-08,0.00114193272451526
"115","225535_s_at",2.3664622799271e-08,0.00129253803267338
"116","225969_at",1.03296112053444e-10,5.64740503818587e-06
"117","226296_s_at",1.7818384901026e-08,0.000973400548758151
"118","226305_at",2.42489727110057e-08,0.001324406142557
"119","226627_at",1.41548493400901e-07,0.00772062102405873
"120","226764_at",7.72154363426687e-08,0.00421480459276457
"121","227186_s_at",2.62791999089342e-10,1.4366050214217e-05
"122","227440_at",3.09417229134577e-08,0.00168978937174975
"123","227441_s_at",1.52327358075564e-08,0.000832194822638421
"124","227778_at",9.73080813918777e-09,0.00053169135672522
"125","227847_at",1.05657794041634e-07,0.00576532318967579
"126","228067_at",6.08682708850566e-10,3.32724229138985e-05
"127","228261_at",2.30995416382655e-08,0.00126169696428206
"128","228427_at",1.08824419808491e-07,0.00593789564243049
"129","228943_at",1.57774910166712e-09,8.62381881480229e-05
"130","229606_at",2.27789976147465e-08,0.0012442571867103
"131","229872_s_at",1.00984745060519e-07,0.00551053556846242
"132","231271_x_at",1.75881694185576e-08,0.00096085928350522
"133","231783_at",9.43492609350383e-08,0.0051485448199641
"134","231835_at",2.80628287403521e-08,0.00153262332882559
"135","231969_at",3.52266231216809e-10,1.92569857956981e-05
"136","232032_x_at",1.51205833739712e-11,8.26717895971876e-07
"137","235377_at",3.0462083459319e-09,0.000166487470938562
"138","235647_at",3.76909775034043e-10,2.0603772852236e-05
"139","236264_at",2.71895398700441e-09,0.000148604430159726
"140","236294_at",5.79335957519764e-11,3.16746141414356e-06
"141","236656_s_at",6.24993279864236e-08,0.00341202581276282
"142","239313_at",1.11902389935e-07,0.00610550629724356
"143","239733_at",2.29002937451546e-08,0.00125085984494784
"144","34726_at",6.24370552984419e-11,3.41362112433171e-06
"145","36553_at",9.01624582318182e-08,0.00492061615800148
"146","39729_at",2.01259489752238e-09,0.000110002399313881
"147","45828_at",8.80391451236525e-08,0.00480517654084896
"148","50374_at",1.94346519839542e-08,0.00106165673392747
