"","Gene","p.value","Adjusted.p.value"
"1","1007_s_at",0.0378569715171908,0.999939669812122
"2","1053_at",0.135477063812385,0.999939669812122
"3","117_at",0.361121933374113,0.999939669812122
"4","121_at",0.110227370244947,0.999939669812122
"5","1255_g_at",0.0130394471295648,0.999939669812122
"6","1294_at",0.555186235471788,0.999939669812122
"7","1316_at",0.101408401052538,0.999939669812122
"8","1320_at",0.458004677856237,0.999939669812122
"9","1405_i_at",0.00321485036085082,0.999939669812122
"10","1431_at",0.927392358213242,0.999939669812122
"11","1438_at",0.643551703755101,0.999939669812122
"12","1487_at",0.472753710603886,0.999939669812122
"13","1494_f_at",0.298694463244066,0.999939669812122
"14","1552256_a_at",0.000268827885278356,0.999939669812122
"15","1552257_a_at",0.47439507920356,0.999939669812122
"16","1552258_at",0.787158472806525,0.999939669812122
"17","1552261_at",0.323457662028516,0.999939669812122
"18","1552263_at",0.0953076127964348,0.999939669812122
"19","1552264_a_at",0.96235901411837,0.999939669812122
"20","1552266_at",0.310237943036572,0.999939669812122
"21","1552269_at",0.798962716150885,0.999939669812122
"22","1552271_at",0.111058409212538,0.999939669812122
"23","1552272_a_at",0.480090894794816,0.999939669812122
"24","1552274_at",0.378059401825927,0.999939669812122
"25","1552275_s_at",0.00967724364007773,0.999939669812122
"26","1552276_a_at",0.581519127959161,0.999939669812122
"27","1552277_a_at",0.0367157231967142,0.999939669812122
"28","1552278_a_at",0.967537345081975,0.999939669812122
"29","1552279_a_at",0.510844868451052,0.999939669812122
"30","1552280_at",0.303164043358083,0.999939669812122
"31","1552281_at",0.285571690582597,0.999939669812122
"32","1552283_s_at",0.118773964155957,0.999939669812122
"33","1552286_at",0.340580210020319,0.999939669812122
"34","1552287_s_at",0.0454994995982536,0.999939669812122
"35","1552288_at",0.83800677159447,0.999939669812122
"36","1552289_a_at",0.537274650649075,0.999939669812122
"37","1552291_at",0.115585831272877,0.999939669812122
"38","1552293_at",0.396984114762869,0.999939669812122
"39","1552295_a_at",0.0527650875047282,0.999939669812122
"40","1552296_at",0.845750521653074,0.999939669812122
"41","1552299_at",0.349846542594082,0.999939669812122
"42","1552301_a_at",2.68041705372413e-05,0.999939669812122
"43","1552302_at",0.0253266755105782,0.999939669812122
"44","1552303_a_at",0.0225878834187153,0.999939669812122
"45","1552304_at",0.368836201369763,0.999939669812122
"46","1552306_at",0.680529072037824,0.999939669812122
"47","1552307_a_at",0.571035198708134,0.999939669812122
