"","Genes","FC.Value","log2.of.FC"
"1","1555272_at",0.311240236199642,-1.68389951524014
"2","200006_at",0.362392399308883,-1.46437539776584
"3","200594_x_at",0.438837130764493,-1.1882424950727
"4","200801_x_at",0.240610519696552,-2.05522837514032
"5","200811_at",0.285976657211088,-1.80603070277946
"6","200932_s_at",0.405680507600601,-1.30158411022225
"7","202021_x_at",0.237246921308983,-2.07553872899433
"8","202397_at",0.402836754548665,-1.31173277503322
"9","202623_at",0.302737139656693,-1.72386241968316
"10","202809_s_at",0.374137613067334,-1.4183590836686
"11","203146_s_at",0.339768310093765,-1.55737679505088
"12","203482_at",0.391151173866373,-1.35420180030565
"13","205353_s_at",0.388251115408786,-1.36493802554223
"14","205463_s_at",0.283817413683762,-1.81696498588182
"15","208248_x_at",0.304360789357002,-1.71614558573028
"16","209683_at",0.209719884097349,-2.25346444123224
"17","210371_s_at",0.241589881339945,-2.04936806425744
"18","212033_at",0.315371096320591,-1.66487765132758
"19","212130_x_at",0.248904350607283,-2.00633664743423
"20","212153_at",0.456412403990375,-1.13159009438209
"21","212227_x_at",0.242474090991723,-2.04409749519459
"22","212765_at",0.523340116294226,-0.934179242851465
"23","212863_x_at",0.51746686710084,-0.950461603675576
"24","213065_at",0.464097163897783,-1.10750121367554
"25","213507_s_at",0.544834259253755,-0.876110671820935
"26","213867_x_at",0.284102216472479,-1.81551800788163
"27","213927_at",0.405009575568372,-1.30397207710814
"28","217815_at",0.390997764153769,-1.35476773710791
"29","219549_s_at",0.156937355212052,-2.67173930239784
"30","222582_at",0.233437539130318,-2.09889151515155
"31","223183_at",0.426760315043509,-1.22850207043981
"32","224594_x_at",0.282618755057907,-1.82307088635913
"33","224666_at",0.366083625272957,-1.44975485078829
"34","225197_at",0.208003381906612,-2.26532110969295
"35","227322_s_at",0.302568948457635,-1.72466415824093
"36","235066_at",0.240156974316314,-2.05795038889185
"37","AFFX-HSAC07/X00351_3_at",0.321101672358935,-1.63889791597236
