"","Gene","p.value","Adjusted.p.value"
"1","1316_at",1.33894616582737e-08,0.000731064606541745
"2","1553581_s_at",1.58277119934838e-08,0.000864129763996243
"3","1553677_a_at",1.63247101612818e-08,0.00089124755125518
"4","1555272_at",3.53676511141611e-08,0.0019303310301598
"5","1555945_s_at",4.9029432239856e-09,0.000267779147121198
"6","1557176_a_at",9.53369387880583e-08,0.00519996265231706
"7","1557545_s_at",1.01258158340245e-07,0.00552261995587694
"8","1561615_s_at",6.58467835945804e-09,0.000359582700531644
"9","1563947_a_at",6.59264237865091e-11,3.6030109127803e-06
"10","200006_at",1.34929378996779e-08,0.000736700916384515
"11","200594_x_at",1.03657246444716e-07,0.00565315524935549
"12","200598_s_at",6.86227821253673e-08,0.00374371587884941
"13","200616_s_at",2.40546267347133e-08,0.0013130699095678
"14","200774_at",4.74915477104453e-08,0.00259151877546358
"15","200801_x_at",3.35210914780386e-11,1.83212877582368e-06
"16","200811_at",1.20084993200966e-07,0.0065477543392759
"17","200914_x_at",7.42805816613289e-11,4.05950806837328e-06
"18","200932_s_at",3.35002741437272e-09,0.000182981847400452
"19","201065_s_at",1.36462121778882e-09,7.4549257127803e-05
"20","201083_s_at",5.68296447963983e-08,0.00310068224973629
"21","201465_s_at",1.35634153451043e-07,0.00739490968030431
"22","201635_s_at",1.22320294890485e-07,0.00666939175860881
"23","201918_at",1.07965536221448e-07,0.00588790051783668
"24","202021_x_at",4.54521611620584e-08,0.00248032443461353
"25","202301_s_at",6.1848806556836e-09,0.000337756332606882
"26","202397_at",6.04706663553553e-09,0.000330242403099866
"27","202623_at",1.66578794800664e-10,9.10253166308749e-06
"28","202809_s_at",1.19159211948846e-07,0.00649739434993471
"29","202844_s_at",7.86073330604527e-09,0.00042925892437652
"30","203146_s_at",5.41282367776349e-08,0.00295350723977165
"31","203202_at",5.47010810011495e-08,0.00298465508266572
"32","203482_at",9.06209230841952e-08,0.00494328073331976
"33","203753_at",1.18137958086689e-07,0.00644194471650908
"34","204106_at",4.99634278042201e-08,0.00272630440156507
"35","204184_s_at",2.61803464598036e-09,0.000143004906467385
"36","204372_s_at",2.032999530423e-10,1.11087160341374e-05
"37","204716_at",9.4814101165925e-08,0.00517163514809538
"38","205353_s_at",1.24042477804623e-08,0.000677296737308802
"39","205463_s_at",1.18839531815754e-07,0.00648008199084944
"40","205596_s_at",1.7044686414003e-07,0.00929105856427302
"41","205871_at",1.73390090347742e-07,0.00945132043476507
"42","206374_at",1.49559267276387e-08,0.000816548731548892
"43","207002_s_at",2.84428651174194e-08,0.0015524969067041
"44","207702_s_at",4.52870767900242e-08,0.00247136106750841
"45","207966_s_at",1.5416287418399e-09,8.42176365379721e-05
"46","208003_s_at",3.31228641953003e-10,1.80976705390282e-05
"47","208113_x_at",8.84192945211619e-09,0.000482831241591709
"48","208248_x_at",1.0305067006606e-07,0.00562017744406276
"49","208610_s_at",5.88089714699781e-08,0.00320855867443054
"50","208803_s_at",1.52967839899044e-07,0.00833934772777619
"51","208942_s_at",2.01893166653538e-08,0.00110215498607833
"52","209023_s_at",9.50700312988273e-08,0.00518549978716323
"53","209186_at",1.3607649832677e-07,0.00741889068877548
"54","209204_at",3.30480047144061e-10,1.80570992959043e-05
"55","209290_s_at",9.31924684096212e-08,0.0050832763818712
"56","209411_s_at",5.83345847439479e-09,0.000318588501120597
"57","209484_s_at",2.8344944527875e-08,0.00154718045210953
"58","209683_at",1.5361327502843e-10,8.39419741392857e-06
"59","210371_s_at",9.18953061195917e-08,0.00501261326290537
"60","211993_at",8.26684710896986e-10,4.51626124410133e-05
"61","212007_at",1.62182286659399e-07,0.00884088081037718
"62","212033_at",1.93201443895656e-10,1.05571064987903e-05
"63","212130_x_at",1.61392621794175e-07,0.00879799599186587
"64","212153_at",1.07295039736337e-07,0.0058514422870609
"65","212227_x_at",1.1144008354779e-08,0.000608507432204351
"66","212417_at",2.34673879053223e-09,0.000128188259694032
"67","212451_at",1.948396559539e-08,0.00106368813374912
"68","212462_at",1.21260685095324e-07,0.00661173885482253
"69","212765_at",6.16182809304459e-08,0.00336177017100327
"70","212863_x_at",2.05008001850281e-09,0.000111987671090735
"71","213065_at",9.04231229695538e-09,0.000493764505287546
"72","213507_s_at",1.78148156830234e-07,0.00971049973250241
"73","213867_x_at",7.35539650591521e-10,4.01847377307665e-05
"74","213922_at",4.39340828154073e-08,0.00239761470148522
"75","213927_at",3.20972982263726e-08,0.00175190263449364
"76","214501_s_at",1.34338920420387e-07,0.00732442661916035
"77","214577_at",1.10362736136572e-07,0.00601852145247183
"78","214659_x_at",9.44345817090499e-11,5.16066102123616e-06
"79","214726_x_at",1.87888412190097e-08,0.00102575799751061
"80","214843_s_at",1.61320454756127e-07,0.00879422327057552
"81","216550_x_at",1.10831968383812e-08,0.000605197963359803
"82","217815_at",1.19831986465558e-10,6.54845856438335e-06
"83","218330_s_at",2.05912080625774e-09,0.000112479474041829
"84","218381_s_at",4.57508688314508e-09,0.000249882095383618
"85","218521_s_at",2.22973238374632e-08,0.00121718861096328
"86","219549_s_at",2.30213525051211e-10,1.25790972223232e-05
"87","220462_at",1.39208244723697e-07,0.00758935508584652
"88","221006_s_at",2.42551348882237e-08,0.00132399079300858
"89","221765_at",4.68426018600813e-09,0.000255840238579206
"90","222582_at",9.54267758987489e-08,0.00520476721106956
"91","222633_at",9.06521882781802e-11,4.95405143721427e-06
"92","223134_at",5.42056705293359e-08,0.00295767820676269
"93","223183_at",7.73951021873974e-08,0.00422213500962909
"94","223261_at",9.85582945758595e-08,0.00537546794446195
"95","224212_s_at",2.05252588789224e-08,0.00112047388220037
"96","224594_x_at",6.50748127743347e-10,3.555297321113e-05
"97","224651_at",1.59537908417937e-07,0.00869736861531223
"98","224666_at",4.48606891078509e-08,0.00244813752599364
"99","224726_at",3.7188628569757e-10,2.03187509916581e-05
"100","224771_at",4.46339845302413e-10,2.43862237879427e-05
"101","225167_at",3.76328919543639e-08,0.00205392797708528
"102","225197_at",4.30865043566229e-12,2.35515141463737e-07
"103","225234_at",1.37699344202821e-08,0.00075181087947856
"104","225431_x_at",1.96667946175613e-08,0.00107364965176191
"105","225476_at",4.1597223901137e-08,0.00227012689718065
"106","226143_at",8.68047854325166e-08,0.00473537465491464
"107","226158_at",2.24716404621702e-08,0.00122668190954895
"108","226554_at",1.13782698291408e-07,0.00620479810322705
"109","226575_at",5.66138435488519e-08,0.00308896453171246
"110","227322_s_at",1.61266093148467e-07,0.00879142106798868
"111","227612_at",8.10643305550796e-11,4.4301656648351e-06
"112","227931_at",6.10392123781798e-09,0.000333341242718478
"113","228007_at",1.01288487022991e-07,0.00552417279374692
"114","228839_s_at",8.89138377340602e-08,0.00485033876223072
"115","228854_at",1.11230896224142e-07,0.00606575446379113
"116","229036_at",3.82996635768555e-08,0.00209028073903404
"117","229353_s_at",2.95696362977938e-08,0.00161396988840618
"118","230179_at",6.3012863286963e-08,0.00343779278234684
"119","230296_at",1.16192420105087e-07,0.00633608886075049
"120","230629_s_at",1.33092377487526e-07,0.0072565956977524
"121","230779_at",6.49030690767151e-10,3.54597917900633e-05
"122","232008_s_at",1.30510552043671e-08,0.000712600665213647
"123","235066_at",1.16511207336456e-07,0.00635335613605696
"124","235149_at",3.36773277243719e-08,0.00183810854719622
"125","235484_at",5.74060593847798e-08,0.00313207460003359
"126","235560_at",5.94672700464141e-09,0.000324768601904482
"127","235918_x_at",3.63321872529037e-09,0.00019844640677536
"128","236254_at",5.03551556792151e-09,0.000275014682742034
"129","236268_at",2.97978993838164e-09,0.000162762086014282
"130","237560_at",1.69623235282452e-07,0.00924633217848177
"131","238736_at",2.54414228797648e-08,0.00138872006789196
"132","239035_at",9.035256685253e-08,0.00492873252180551
"133","239095_at",6.431244047396e-08,0.00350862950249736
"134","239533_at",1.37467205144888e-10,7.51203289234754e-06
"135","240180_at",6.89579862117359e-08,0.00376193397979504
"136","241060_x_at",4.57592878349593e-11,2.50088235804403e-06
"137","241701_at",4.12683873050895e-08,0.00225226350556257
"138","242066_at",1.55026400829315e-09,8.4687822245038e-05
"139","242292_at",9.10021690816746e-08,0.00496398631906719
"140","242829_x_at",1.3871481883698e-07,0.00756259320817329
"141","243904_at",4.71140702559607e-08,0.00257096769979752
"142","32069_at",1.20137165949273e-08,0.000655984967232813
"143","35436_at",4.78731246925215e-08,0.00261229279509682
"144","36612_at",1.88474486240632e-09,0.00010295795759867
"145","AFFX-DapX-3_at",2.70117300376509e-17,1.47686633980856e-12
"146","AFFX-DapX-5_at",1.16969827709335e-11,6.39357078259227e-07
"147","AFFX-DapX-M_at",1.65096384674958e-14,9.02581935017993e-10
"148","AFFX-HSAC07/X00351_3_at",2.61568244308873e-11,1.42970586656787e-06
"149","AFFX-LysX-3_at",1.64860934257745e-12,9.01212297119962e-08
"150","AFFX-LysX-5_at",7.78249617283827e-10,4.251733309145e-05
"151","AFFX-LysX-M_at",7.09011728869989e-13,3.87595441821357e-08
"152","AFFX-PheX-3_at",3.83216120231403e-11,2.09442938351271e-06
"153","AFFX-PheX-5_at",2.62499460626936e-11,1.43476955189471e-06
"154","AFFX-PheX-M_at",1.01949250476714e-13,5.57346357431145e-09
"155","AFFX-r2-Bs-dap-3_at",6.46676577878277e-17,3.53563952189169e-12
"156","AFFX-r2-Bs-dap-5_at",1.79891604037291e-12,9.83359464309449e-08
"157","AFFX-r2-Bs-dap-M_at",1.56313400562259e-15,8.54596623553982e-11
"158","AFFX-r2-Bs-lys-3_at",3.29368313193664e-12,1.80042601041053e-07
"159","AFFX-r2-Bs-lys-M_at",2.92895339759106e-10,1.60038013644375e-05
"160","AFFX-r2-Bs-phe-3_at",4.86059760859269e-13,2.65719150066545e-08
"161","AFFX-r2-Bs-phe-5_at",3.97469831999889e-09,0.00021709404754002
"162","AFFX-r2-Bs-phe-M_at",3.45701979017842e-12,1.88967615770733e-07
"163","AFFX-r2-Bs-thr-3_s_at",6.41834391542576e-16,3.50910116888073e-11
"164","AFFX-r2-Bs-thr-5_s_at",4.13763477636841e-08,0.00225811417920306
"165","AFFX-r2-Bs-thr-M_s_at",3.64989039968444e-11,1.99484759794753e-06
"166","AFFX-ThrX-3_at",6.47857967253408e-15,3.54190429277111e-10
"167","AFFX-ThrX-5_at",3.01595329994606e-11,1.64842959515152e-06
"168","AFFX-ThrX-M_at",1.17627471564341e-12,6.43022336053627e-08
