"","Genes","FC.Value","log2.of.FC"
"1","1316_at",7.61168214176932,2.92821531698926
"2","1553581_s_at",3.62520681367594,1.85806330148721
"3","1553677_a_at",3.08384551856863,1.6247304970373
"4","1555945_s_at",4.03241436861388,2.01164389697972
"5","1557176_a_at",2.71797802471364,1.44253379173267
"6","1557545_s_at",4.46007272941871,2.15706723604607
"7","1561615_s_at",3.15201368310131,1.65627379764313
"8","1563947_a_at",5.3792069125897,2.42739348363386
"9","200598_s_at",4.16173732659913,2.05718591039479
"10","200616_s_at",3.00095851223921,1.585423374051
"11","200774_at",2.12180645496163,1.0852930637919
"12","200914_x_at",4.83481078885246,2.27345943068958
"13","201065_s_at",2.43229625990883,1.28231896343209
"14","201083_s_at",2.99303949094732,1.581611314258
"15","201465_s_at",4.52543349556941,2.17805599594244
"16","201635_s_at",7.59670946846299,2.92537464730369
"17","201918_at",2.71187555340463,1.43929097544867
"18","202301_s_at",2.73264058840598,1.45029572132391
"19","202844_s_at",3.19235421892854,1.67462073976169
"20","203202_at",3.67294368329614,1.87693677560884
"21","203753_at",2.66099483295258,1.41196570897685
"22","204106_at",1.87201392687264,0.904591167910287
"23","204184_s_at",5.03187739086285,2.33109676924638
"24","204372_s_at",3.13476483836307,1.64835721998026
"25","204716_at",3.51852759674576,1.81497182850017
"26","205596_s_at",3.26420867010843,1.70673328699934
"27","205871_at",4.65265993694806,2.21805574432545
"28","206374_at",3.2309679474073,1.6919664385185
"29","207002_s_at",3.28161977688432,1.7144080914474
"30","207702_s_at",7.58106950376951,2.92240139179239
"31","207966_s_at",2.97144426907562,1.57116432273478
"32","208003_s_at",5.12204135868205,2.35671890223733
"33","208113_x_at",2.1915784726669,1.13197033758969
"34","208610_s_at",5.74729828158418,2.52288392618658
"35","208803_s_at",3.33267444380845,1.73668039298285
"36","208942_s_at",3.41253174744415,1.77084246776646
"37","209023_s_at",4.06837709272467,2.02445340697082
"38","209186_at",3.0718052230738,1.6190867405987
"39","209204_at",4.69658197763734,2.2316111912905
"40","209290_s_at",2.11457493238133,1.08036768482144
"41","209411_s_at",4.14917449251806,2.05282433067232
"42","209484_s_at",2.64619244241942,1.40391798437867
"43","211993_at",4.74766551110358,2.24721829587475
"44","212007_at",2.94116007634865,1.55638530686
"45","212417_at",6.90875702363723,2.78842617412465
"46","212451_at",6.02674019025297,2.59137787227323
"47","212462_at",2.68479362454453,1.42481119499313
"48","213922_at",3.52352784500717,1.81702061514833
"49","214501_s_at",2.36230430241955,1.24019481880547
"50","214577_at",6.41752332247043,2.68201663383167
"51","214659_x_at",5.39399984977525,2.43135548139396
"52","214726_x_at",2.9056160742636,1.53884408894887
"53","214843_s_at",3.12118206080484,1.64209251315575
"54","216550_x_at",9.25623351250291,3.21042526062955
"55","218330_s_at",2.88327124340718,1.52770656458553
"56","218381_s_at",3.48019065293199,1.79916634242611
"57","218521_s_at",2.92659368864781,1.54922246420852
"58","220462_at",3.82754124439353,1.9364179238417
"59","221006_s_at",2.75646249558455,1.46281797226078
"60","221765_at",3.6375898010003,1.86298286420199
"61","222633_at",6.26812470392578,2.64803388241829
"62","223134_at",4.79138756181238,2.26044351371885
"63","223261_at",2.79121095353238,1.48089116421552
"64","224212_s_at",3.1361137492254,1.64897788804599
"65","224651_at",2.8494714422808,1.51069433390206
"66","224726_at",4.28234713607315,2.09840174836057
"67","224771_at",5.86032487786008,2.55098064531062
"68","225167_at",2.63860056810417,1.39977297172135
"69","225234_at",2.45756808164318,1.29723138388568
"70","225431_x_at",2.35256690953288,1.23423575533577
"71","225476_at",5.23736259192132,2.38884048858685
"72","226143_at",2.06396638360743,1.04541947337851
"73","226158_at",2.40395936390485,1.26541250919866
"74","226554_at",4.90080001075594,2.29301727521584
"75","226575_at",2.52389619692223,1.33565257622178
"76","227612_at",7.20587698584993,2.84917402320252
"77","227931_at",3.04287980054379,1.60543734581952
"78","228007_at",2.2040997225955,1.14018949888154
"79","228839_s_at",2.14204004559278,1.09898545162788
"80","228854_at",3.88794551334972,1.95900800079273
"81","229036_at",2.04335772719677,1.03094179637389
"82","229353_s_at",3.2380388438269,1.69512029245342
"83","230179_at",2.23501436507722,1.16028410405247
"84","230296_at",3.80610301555604,1.92831460996205
"85","230629_s_at",7.22620703360187,2.8532385891285
"86","230779_at",3.42715606766342,1.77701189157033
"87","232008_s_at",4.07565998736827,2.02703369944324
"88","235149_at",7.40634079878474,2.88876093587257
"89","235484_at",3.90865938687589,1.96667386902845
"90","235560_at",4.7144071062958,2.23707634596065
"91","235918_x_at",2.80415906916898,1.48756819021591
"92","236254_at",3.58295080262872,1.84114823408986
"93","236268_at",3.58497888396351,1.84196462127283
"94","237560_at",6.81545629755172,2.76881024927962
"95","238736_at",2.51634592219675,1.33133026320818
"96","239035_at",4.24170021530677,2.08464266113876
"97","239095_at",2.9762338261959,1.57348787545181
"98","239533_at",6.84731031797903,2.77553739640326
"99","240180_at",3.54418782133046,1.82545506036077
"100","241060_x_at",6.30735232463241,2.65703452347434
"101","241701_at",5.95829133903135,2.57489866791434
"102","242066_at",12.7136859310834,3.6683104496657
"103","242292_at",3.76903921527019,1.91419680571639
"104","242829_x_at",5.25074962557894,2.39252340447448
"105","243904_at",2.82559822861674,1.49855634366575
"106","32069_at",2.94640881597932,1.55895761905902
"107","35436_at",5.04399025584225,2.33456548861981
"108","36612_at",2.4381131265243,1.28576506742211
"109","AFFX-DapX-3_at",5915.78646224072,12.5303542621453
