ID_REF,GSM119628,GSM119629,GSM119630,GSM119631,GSM119632,GSM119633,GSM119634,GSM119635,GSM119636,GSM119637,GSM119638,GSM119639,GSM119640,GSM238799,GSM238800,GSM238801,GSM238802,GSM238803,GSM238804,GSM238805,GSM238806,GSM238807,GSM238808
1553677_a_at,446.35434,271.87192,222.92944,244.14867,198.11153,342.28528,170.40936,266.76248,267.90247,276.6891,358.55777,243.4647,194.37224,728.742,589.069,582.908,953.619,995.599,873.078,1310.21,1019.46,731.33,527.801
1555945_s_at,177.58972,214.18645,620.5705,282.0867,244.3999,313.5619,238.05435,165.58887,303.40027,174.65108,142.3863,136.88982,112.00367,833.142,802.852,1110,1077.2,708.605,1048.49,888.119,1423.12,1032.35,770.572
1556323_at,145.1374,212.9931,10.872336,88.37094,69.170845,148.13686,306.81702,52.709522,119.78655,69.77632,36.432873,261.06763,79.305954,766.255,703.509,480.872,695.387,587.953,818.01,836.05,1018.91,493.909,348.31
1559391_s_at,52.978687,186.48796,215.57118,72.88183,79.15627,246.28474,52.314873,35.74984,39.485226,20.640558,8.05358,111.50177,62.173023,371.924,253.825,394.392,329.402,508.315,521.693,434.214,332.707,544.62,393.622
1561615_s_at,554.6396,340.8944,269.88913,612.4395,592.1622,537.9043,357.96893,384.2972,522.083,362.50455,387.9096,436.4228,241.7554,1823.49,1485.72,1897.8,1216.47,1088.4,965.34,902.566,1881.01,1218.03,1101.19
1561763_at,4.5210624,5.2701125,11.291347,3.9013076,1.2098863,18.435776,6.983011,12.071089,6.2434125,11.772884,7.4324174,32.610226,2.331081,53.0395,43.4319,67.3223,22.3778,65.5438,43.7272,49.0577,29.8336,53.9519,44.7976
1563947_a_at,85.32058,31.785427,69.45459,117.73885,69.589,54.13937,44.248688,113.35354,136.44489,96.11205,73.49211,66.90634,77.3285,346.283,545.013,315.824,337.139,418.429,379.114,333.883,750.177,475.879,384.717
200732_s_at,464.83932,304.53793,548.0642,469.1039,645.4297,448.433,438.46024,569.3978,487.4218,633.005,529.55096,407.85406,584.4345,295.312,176.073,247.88,104.573,153.159,217.991,265.487,141.038,259.169,229.832
200774_at,1963.834,1908.7162,1096.3015,2211.3977,1922.2382,2150.9758,953.2266,1712.9872,1918.3765,1520.7794,1943.4576,1857.7131,2174.8088,3731.81,2581.06,3227.51,4558.13,4012.86,4210.69,4623.98,4314.03,3512.01,3314.04
200914_x_at,473.61584,286.12918,388.32098,223.99648,391.6047,606.0876,291.8376,271.56775,472.76712,168.68875,206.30515,250.5878,202.059,1315.09,1096.77,1499.53,1493.09,1567.61,1373.91,1918.82,1800.86,1468.3,2211.02
200947_s_at,940.3786,830.2947,1307.4053,888.4952,1251.7396,1024.0397,733.92035,770.8304,955.0283,1173.3674,1047.6414,752.646,1293.1456,312.47,562.581,375.445,446.355,318.251,248.136,326.375,121.032,307.658,352.712
200967_at,977.39484,802.01166,957.5068,1157.4087,1027.967,521.9041,936.94727,990.5886,920.4461,953.6811,939.3876,708.8508,932.01245,642.199,376.901,484.784,190.643,413.776,296.894,344.235,267.657,408.513,331.068
200980_s_at,1062.5778,753.84467,446.34857,892.99225,812.6088,948.7923,1069.5116,1029.717,1023.23676,1123.489,1041.8843,868.607,990.0345,511.618,368.492,419.775,511.028,275.038,240.93,146.344,220.262,321.041,272.598
201011_at,429.2245,356.69778,241.38255,334.91412,390.55603,333.18604,181.91185,372.70078,331.22052,464.4639,249.68645,332.61047,397.39124,139.108,130.759,140.876,113.834,224.357,99.0561,83.7806,49.0354,122.912,128.754
201065_s_at,1241.1611,1105.1904,1498.6287,1309.5945,1114.417,1548.5172,1246.1909,1086.2625,1376.6587,1081.6508,972.0347,1242.0037,1088.7458,2889.22,2748.81,3177.04,3901.78,2496.49,2014.84,3097.99,3613.11,3179.97,2650.29
201083_s_at,96.232994,215.57613,197.12852,110.51118,141.78113,97.2554,173.67117,154.5458,195.84355,128.008,47.795677,148.19194,104.7733,416.155,375.118,417.99,506.156,475.381,511.656,541.64,269.005,360.766,296.392
